"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋城下町","秋田",10,11000000,"３ＬＤＫ",70,"1996年","ＳＲＣ","住宅","住宅","近隣商業",80,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",19,7600000,"２ＤＫ",40,"1991年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","改装済み",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,24000000,"３ＬＤＫ",80,"2008年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",19,5500000,"２ＤＫ",40,"1991年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",15,5200000,"１Ｋ",15,"1988年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,9000000,"３ＬＤＫ",60,"1989年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",19,14000000,"２ＬＤＫ",65,"2007年","ＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,8000000,"１Ｒ",15,"1988年","ＳＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,10000000,"３ＬＤＫ",65,"1989年","ＳＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","手形","秋田",11,22000000,"３ＬＤＫ",65,"2006年","ＲＣ","住宅","住宅","２中住専",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",14,17000000,"３ＬＤＫ",70,"2001年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",13,5000000,"１ＬＤＫ",40,"1986年","ＳＲＣ","住宅","住宅","商業",80,500,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",14,23000000,"３ＬＤＫ",75,"2007年","ＲＣ","住宅","住宅","商業",80,400,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",16,930000,"１Ｒ",20,"1980年","ＳＲＣ","","住宅","商業",80,500,"2025年第2四半期","改装済み",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",12,21000000,"３ＬＤＫ",70,"2003年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",16,650000,"１ＬＤＫ",35,"1980年","ＳＲＣ","","住宅","商業",80,500,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",14,36000000,"３ＬＤＫ",90,"2017年","ＲＣ","","住宅","商業",80,400,"2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",10,9000000,"３ＬＤＫ",75,"2002年","ＳＲＣ","住宅","","商業",80,400,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",10,12000000,"４ＬＤＫ",75,"2002年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第1四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",14,24000000,"３ＬＤＫ",80,"2007年","ＲＣ","住宅","住宅","商業",80,400,"2025年第1四半期","改装済み",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",14,28000000,"３ＬＤＫ",75,"2017年","ＲＣ","","住宅","商業",80,400,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",16,200000,"１ＤＫ",35,"1980年","ＳＲＣ","住宅","住宅","商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",14,28000000,"２ＬＤＫ",80,"2017年","ＲＣ","住宅","住宅","商業",80,500,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","広面","秋田","30分～60分",12000000,"",70,"2007年","ＲＣ","","住宅","近隣商業",80,200,"2025年第1四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","南通築地","秋田",9,6900000,"",50,"1991年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","南通宮田","秋田",18,11000000,"２ＬＤＫ",55,"1991年","ＲＣ","住宅","","１中住専",60,200,"2025年第1四半期","改装済み",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","八橋大畑","秋田","30分～60分",11000000,"２ＬＤＫ",70,"1992年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","八橋大畑","秋田","30分～60分",22000000,"４ＬＤＫ",95,"2007年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第2四半期","未改装",""
"中古マンション等","成約価格情報","05210","秋田県","由利本荘市","岩城二古","","",3300000,"２ＬＤＫ",55,"1997年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","05361","秋田県","南秋田郡五城目町","（大字なし）","八郎潟","30分～60分",9000000,"３ＬＤＫ",95,"2002年","ＲＣ","","","１低住専","","","2025年第3四半期","",""
