"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",8,17000000,"３ＬＤＫ",110,"1992年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",8,17000000,"３ＬＤＫ",115,"1992年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","沖の島町","四日市",7,9500000,"４ＬＤＫ",75,"1991年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","沖の島町","近鉄四日市",10,14000000,"３ＬＤＫ",80,"1996年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","笹川","西日野","30分～60分",3000000,"３ＤＫ",55,"1975年","ＲＣ","","","１中住専","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",7,20000000,"３ＬＤＫ",80,"2003年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",8,18000000,"３ＬＤＫ",75,"1989年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","笹川","西日野","30分～60分",2700000,"２ＬＤＫ",55,"1975年","ＲＣ","","","１中住専","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",11,9000000,"４ＤＫ",70,"1986年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","三栄町","近鉄四日市",8,40000000,"４ＬＤＫ",95,"2005年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","西松本町","伊勢松本",6,12000000,"３ＬＤＫ",80,"1991年","","","","準住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","南浜田町","赤堀",8,28000000,"４ＬＤＫ",95,"2003年","ＳＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","富士町","霞ケ浦",10,13000000,"２ＬＤＫ",65,"1993年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","南浜田町","近鉄四日市",8,15000000,"３ＬＤＫ",70,"1992年","ＲＣ","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","伊倉","中川原",8,29000000,"３ＬＤＫ",105,"2005年","ＲＣ","","","２種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","城山町","阿倉川",4,12000000,"２ＬＤＫ",65,"2011年","ＳＲＣ","","","準工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","西富田町","近鉄富田",10,27000000,"３ＬＤＫ",75,"2014年","ＲＣ","","","２種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","西富田町","近鉄富田",7,37000000,"３ＬＤＫ",80,"2022年","ＲＣ","","","２種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","前田町","追分(三重)",6,19000000,"４ＬＤＫ",85,"1999年","ＲＣ","","","２中住専","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","久保田","近鉄四日市",11,40000000,"３ＬＤＫ＋Ｓ",85,"2022年","ＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","久保田","近鉄四日市",12,37000000,"３ＬＤＫ",75,"2022年","ＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","新正","近鉄四日市",14,9300000,"３ＬＤＫ",70,"1990年","ＳＲＣ","","","近隣商業","","","2025年第1四半期","",""
