"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","18201","福井県","福井市","北四ツ居","越前開発",15,24000000,"４ＬＤＫ",100,"2001年","ＲＣ","","","２中住専","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","新田塚","八ツ島",5,17000000,"３ＬＤＫ",85,"2001年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","二の宮","まつもと町屋",14,29000000,"３ＬＤＫ",100,"2008年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","花堂南","ベル前",6,14000000,"２ＬＤＫ",50,"1998年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","日之出","福井(福井)",5,46000000,"４ＬＤＫ",90,"2017年","ＲＣ","","","近隣商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","木田町","赤十字前",5,14000000,"３ＬＤＫ",70,"1998年","ＳＲＣ","","","準工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","二の宮","八ツ島",11,18000000,"３ＬＤＫ",90,"1994年","ＲＣ","","","２中住専","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","日之出","福井口",3,19000000,"３ＬＤＫ",70,"2001年","ＲＣ","","","近隣商業","","","2025年第3四半期","",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","板垣","福井(福井)","30分～60分",14000000,"２ＬＤＫ",55,"2002年","ＲＣ","住宅","住宅","１種住居",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","大手","福井(福井)",11,30000000,"３ＬＤＫ",85,"2011年","ＲＣ","住宅","住宅","商業",80,400,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","大手","福井(福井)",11,35000000,"３ＬＤＫ",95,"2011年","ＲＣ","住宅","","商業",80,400,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","大手","福井(福井)",8,41000000,"３ＬＤＫ",105,"2011年","ＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","開発","福井(福井)",13,36000000,"３ＬＤＫ",95,"2009年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","加茂河原","福井(福井)","30分～60分",1000000,"１Ｋ",15,"","","住宅","住宅","近隣商業",80,200,"2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","木田","福井(福井)",28,19000000,"２ＬＤＫ",65,"2000年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","北四ツ居","越前開発",11,20000000,"４ＬＤＫ",80,"2007年","ＲＣ","","住宅","準工業",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","北四ツ居","福井(福井)",26,23000000,"４ＬＤＫ",95,"2001年","ＲＣ","住宅","住宅","２中住専",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","志比口","福井(福井)",21,6000000,"１Ｋ",25,"2008年","ＲＣ","","住宅","準工業",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","城東","福井(福井)",19,15000000,"３ＬＤＫ",70,"1997年","","住宅","住宅","１中住専",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","成和","福井(福井)","30分～60分",3300000,"１Ｋ",25,"1993年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","成和","福井(福井)","30分～60分",3200000,"１Ｋ",20,"1993年","ＳＲＣ、ＲＣ","","住宅","準工業",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","大願寺","まつもと町屋",8,23000000,"４ＬＤＫ",100,"2002年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","中央","福井(福井)",4,71000000,"３ＬＤＫ",95,"2021年","ＲＣ","住宅","住宅","商業",80,600,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","豊島","福井(福井)",9,5000000,"１ＬＤＫ",45,"","","住宅","住宅","近隣商業",80,150,"2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","西谷","花堂",12,4500000,"",60,"1990年","","","住宅","工業",60,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","西谷","花堂",10,3500000,"３ＬＤＫ",60,"","ＳＲＣ","","住宅","工業",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","日之出","新福井",2,18000000,"３ＬＤＫ",70,"2001年","ＲＣ","住宅","住宅","近隣商業",80,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","日之出","福井(福井)",5,46000000,"４ＬＤＫ",85,"2017年","ＲＣ","住宅","住宅","近隣商業",80,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","日之出","福井(福井)",5,41000000,"２ＬＤＫ",70,"2017年","ＲＣ","住宅","事務所","近隣商業",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","文京","西別院",7,16000000,"４ＬＤＫ",80,"2002年","ＳＲＣ、ＲＣ","住宅","住宅","準工業",60,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","文京","西別院",4,24000000,"３ＬＤＫ",70,"2009年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第1四半期","改装済み",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","町屋","福井(福井)",29,12000000,"２ＬＤＫ",55,"1988年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第1四半期","改装済み",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","町屋","まつもと町屋",6,690000,"１ＬＤＫ",40,"","ＲＣ","","住宅","準工業",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","米松","越前開発",14,8700000,"１Ｋ",25,"2005年","ＲＣ","住宅","その他","準工業",60,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","米松","福井口",14,4000000,"１Ｋ",30,"2005年","ＲＣ","住宅","その他","準工業",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","18201","福井県","福井市","和田東","福井(福井)","30分～60分",16000000,"２ＬＤＫ",60,"2004年","ＳＲＣ","住宅","住宅","準工業",60,200,"2025年第1四半期","未改装",""
"中古マンション等","成約価格情報","18202","福井県","敦賀市","鉄輪町","敦賀",5,7800000,"３ＬＤＫ",70,"1989年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18202","福井県","敦賀市","中央町","敦賀",29,16000000,"３ＬＤＫ",70,"2002年","ＳＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18202","福井県","敦賀市","野神","敦賀","30分～60分",13000000,"３ＤＫ",60,"1990年","ＲＣ","","","１種住居","","","2025年第1四半期","",""
